id,should_trigger,prompt
trigger-01,true,"Audit this repository for huge files, god services, and semantic boundaries. Do not change code."
trigger-02,true,"This AI-generated NestJS codebase has several 3000-line services. Find natural seams and propose a safe split."
trigger-03,true,"Refactor this 2200-line order service into cohesive modules without changing behavior."
trigger-04,true,"Do a structural audit: are these modules too fragmented or too coupled?"
trigger-05,true,"Find hotspots using size, churn, coupling, and responsibilities; don't just apply clean-code rules."
trigger-06,true,"This class keeps growing every feature. Figure out whether it should be split and implement the refactor if the seam is clear."
trigger-07,true,"We have circular service dependencies and a god object. Restructure responsibilities while preserving public APIs."
trigger-08,true,"Is this 1800-line state machine actually a problem or should we leave it alone?"
negative-01,false,"Format this file with Prettier and fix lint spacing."
negative-02,false,"Rename this variable from data to customerData."
negative-03,false,"Implement a new checkout endpoint."
negative-04,false,"Explain the SOLID principles."
negative-05,false,"Write unit tests for this pure function."
negative-06,false,"Optimize this SQL query."
negative-07,false,"Review this code only for security vulnerabilities."
